,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
102,1999年,+0.54,-0.17,+0.77,-0.01,+0.37,+0.68,+0.07,+0.93,+1.72,+0.77,+0.49,-0.22
103,2000年,+1.20,-1.08,-0.46,-0.42,+0.49,+0.33,+1.33,+0.74,+0.53,+0.57,+0.31,-0.20
104,2001年,-0.88,-0.53,-0.19,+0.62,+0.65,+0.68,+1.17,-0.43,-0.57,+0.23,-0.40,-0.95
105,2002年,+0.98,+1.23,+1.87,+1.68,+0.38,+0.03,+0.67,-0.33,-0.16,-0.08,-2.04,-0.72
106,2003年,-0.57,+0.17,-0.62,+0.68,+0.32,+0.30,-1.99,-0.97,+0.25,-0.57,+1.69,+0.60
107,2004年,+0.10,+1.21,+0.31,+0.64,+1.08,+1.08,+1.43,0.00,+0.67,+0.03,+1.67,+0.99
108,2005年,-0.01,-0.49,-0.76,+0.40,-0.84,+1.18,-0.11,+0.43,+1.02,+1.12,+0.19,-2.31
109,2006年,-0.42,+0.45,-0.14,-1.06,+0.37,+0.10,-0.17,+1.07,-0.15,+0.76,+1.03,+0.58
110,2007年,+1.25,+1.93,+0.52,-0.51,+0.18,+0.89,-0.89,+1.00,+1.49,+0.81,-0.13,+0.74
111,2008年,+0.02,-1.06,+1.00,+0.28,-0.06,-0.34,+1.07,-0.23,+0.37,+0.91,-0.05,+0.77
112,2009年,+0.70,+1.72,+0.75,+0.31,+0.71,+0.34,-0.36,-0.77,-0.36,+0.20,+0.31,+0.07
113,2010年,+0.57,+0.98,+0.24,-1.29,-0.40,+1.05,+1.22,+1.97,+1.48,+0.83,0.00,+0.65
114,2011年,-1.64,+0.77,-1.26,-0.66,-0.28,+1.03,+0.94,+0.57,+0.89,+0.44,+1.55,-0.75
115,2012年,-0.67,-1.21,-0.10,+0.11,+0.13,-0.20,+0.67,+1.07,+1.83,+0.54,-0.30,-1.37
116,2013年,-0.90,-0.21,+1.13,-0.61,-0.24,+0.86,+1.32,+1.10,+0.59,+1.37,-0.11,-0.18
117,2014年,+0.03,-0.09,+0.28,-0.05,+0.62,+1.08,+0.77,-0.30,-0.28,+0.16,+0.77,-1.30
118,2015年,+0.60,+0.65,+1.11,+1.11,+1.80,+0.35,+0.59,-0.20,-0.61,-0.16,+1.55,+1.52
119,2016年,+0.66,+0.79,+1.11,,,,,,,,,
