,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1875,,,1219.2 ],94.0 ],,,17.0 ],21.9 ],12.2 ],35.1 ],-3.6 ],,,,,,,,,,,,,,,,
88,1960,1013.2,1013.8,1281.9,83.9,78.1,24.0,15.4,20.1,11.6,34.7,-5.6,67,,3.6,,,,,2122.2,,0,,,6.2,3,26,12
89,1961,1013.0,1013.7,1260.2,161.2,52.1,12.4,15.9,20.7,12.1,37.5,-4.4,66,12,3.3,21.2,南南西,,,2142.4,12.5,4,3 ],3 ],6.1,5,20,11
90,1962,1012.7,1013.4,1256.0,55.3,37.8,19.5,15.4,20.1,11.4,37.6,-3.8,66,12,3.1,15.3,南南西,,,2091.3,11.3,0,0,0,5.9,7,19,8
91,1963,1012.7,1013.4,1575.0,154.5,42.2,17.0,15.0,19.7,11.1,37.2,-5.5,66,6,2.9,13.3,南南西,,,1971.0,11.8,8,8,8,6.4,16,41,11
92,1964,1014.5,1015.2,1140.2,61.9,17.1,7.2,15.3,19.5,11.4,35.2,-2.8,68,14,3.1,18.0,南南西,,,1843.2,11.2,10,5,5,7.0,13,26,2
93,1965,1008.8,1013.1,1596.0,118.0,41.0,30.0,14.6,18.7,10.8,35.0,-4.7,64,12,3.8,24.7,南,,,2103.3,11.4,11,6,6,6.2,9,26,11
94,1966,1009.0,1013.2,1643.5,225.5,39.5,35.0,15.5,19.5,11.7,34.9,-3.2,62,16,3.7,24.5,南,,,1908.8,10.6,0,0,--,6.4,8,24,11
95,1967,1009.7,1014.0,1023.3,43.0,27.5,10.0,15.7,19.8,12.0,37.2,-4.0,62,11,3.7,19.7,南,33.0,,1986.6,10.8,24,16,21,6.3,13,19,7
96,1968,1009.5,1013.8,1491.0,75.5,23.0,9.0,15.6,19.7,11.9,33.5,-2.9,63,14,3.7,19.5,南,31.8,,1938.9,10.6,30,15,23,6.3,10,19,15
97,1969,1009.5,1013.8,1343.0,74.5,53.0,21.5,15.6,19.7,11.7,36.6,-2.1,63,15,3.8,20.3,南,34.0,,1837.9,10.0,66,33,30,6.5,18,21,13
98,1970,1010.2,1014.5,1122.0,73.0,16.0,6.0,15.2,19.3,11.5,35.5,-4.0,64,14,3.7,15.5,南南西,25.8,,1790.7,10.8 ],6,3,4,6.4,11,19,7
99,1971,1009.5,1013.7,1438.5,169.5,41.0,19.5,15.0,19.0,11.5,34.4,-2.2,64,10,3.7,17.2,南,25.2,,1863.1,,16,9,9,6.3,11,20,9
100,1972,1009.5,1013.8,1627.5,103.0,54.5,20.5,15.7,19.6,12.2,35.2,-2.1,64,14,4.0,22.7,南,30.9,,2071.7,×,13,7,7,6.3,9,17,10
101,1973,1009.5,1013.8,1149.5,96.5,49.0,11.0,15.7,19.9,11.9,34.7,-1.9,61,15,3.6,16.2,南南西,25.3,,2195.7,10.5,0,0,--,5.8,2,5,14
102,1974,1009.5,1013.8,1580.5,87.5,32.5,9.0,15.2,19.2,11.8,34.2,-2.7,63,14,3.5,19.2,南南西,29.9,,1964.3,9.5,21,7,7,6.5,17,12,15
103,1975,1009.6,1013.8,1540.5,93.0,27.0,11.5,15.6,19.5,12.2,35.6,-2.6,64,14,3.0,18.4,南,29.5,,2018.9,11.1,17,15,15,6.4,8,6,9
104,1976,1009.9,1014.1,1557.5,56.0,31.0,14.0,15.0,19.0,11.4,35.4,-3.9,65,16,2.9,16.2,南南西,25.5,,1800.7,10.5,1,1,1,6.5,6,6,8
105,1977,1010.2,1014.4,1454.0,104.5,24.0,11.5,15.8,19.7,12.3,34.9,-3.8,64,13,2.9,16.5,南南西,27.4,,1924.5,11.7,1,1,1,6.5,8,1,9
