,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
66,1946,,1015.0,1327.2,46.7,24.0,13.2 ],15.5,20.5,11.2,36.5,-4.0,74,,,,,,,2097.0,,,,14 ],6.1,18,51,14
67,1947,,1015.4,818.5,71.8,24.2,8.6,14.6,19.9,10.0,38.1,-6.0,72,,,,,,,2281.7,,,,,6.1,16,31,7
68,1948,,1015.7,1167.6,81.4,32.5,19.2,15.8,21.0,11.3,35.5,-5.1,73,,,,,,,2126.4,,,,,6.3,13,29,18
69,1949,,1014.6,1402.8,112.7,22.6,16.3,15.2,20.2,10.8,36.0,-4.1,72,,,,,,,2154.6,,,,,6.4,13,23,9
70,1950,1013.4,1014.2,1479.1,69.5,28.7,16.3,15.7,20.4,11.7,34.6,-3.2,72,,,,,,,2131.1,,,,,6.6,7,46,16
71,1951,1014.4,1015.4,1468.8,77.9,32.8,14.6,15.5,20.5,11.2,36.3,-4.3,71,,2.9,,,,,2154.6,,,,12 ],6.5,15,82,6
72,1952,1014.4,1015.3,1735.2,143.8,51.0,22.0,15.7,20.6,11.4,36.4,-2.9,71,,2.8,,,,,1941.2,,,,,6.4,14,80,17
73,1953,1014.9,1015.8,1475.9,113.9,38.7,11.9,15.6,20.2,11.6,35.0,-3.1,71,,2.8,,,,,1795.9,,13 ],,8 ],6.3,11,94,14
74,1954,1014.2,1015.2,1690.0,109.5,41.9,13.7,15.7,20.4,11.4,36.2,-3.1,72,,2.7,,,,,2016.1,,5,,,6.3,11,97,13
75,1955,1014.1,1015.0,1271.4,56.2,33.0,8.8,16.0,20.8,12.0,35.4,-3.5,70,,3.1,,,,,2176.4,,1,,,5.9,13,107,10
76,1956,1014.2,1015.1,1452.7,117.9,32.4,12.0,15.4,19.9,11.5,37.7,-4.3,70,,3.2,,,,,2032.3,,1,,,6.2,21,84,7
77,1957,1014.3,1015.2,1685.5,250.7,60.0,17.8,15.3,19.8,11.3,35.8,-3.7,72,,2.9,16.8,北北西,25.9,西,1962.8,,0,,,6.4,17,79,16
78,1958,1014.4,1015.4,1390.0,51.0,24.8,19.6,16.0,20.6,12.1,35.0,-4.1,70,,3.0,18.0,西南西,24.6,西,2111.8,,0,,,6.1,20,90,12
79,1959,1013.8,1014.7,1750.9,134.2,38.5,15.2,16.7,21.3,12.6,38.2,-3.6,70,,2.9,19.9,北北東,27.4,西北西,2181.7,,0,,,6.1,7,85,12
80,1960,1014.2,1015.1,1349.1,76.7,27.1,15.7,16.2,21.1,12.2,36.6,-3.9,70,,2.7,14.0,西,20.8,西,2224.5,,0,,,5.8,8,94,11
81,1961,1014.1,1015.1,1461.8,122.2,26.7,11.4,16.6,21.3,12.7,35.6,-3.1,68,14,2.7,33.3,南南東,50.6,南南東,2276.9,12.2,7,5 ],6 ],6.0,21,70,15
82,1962,1013.8,1014.7,1224.8,78.3,46.5,11.5,15.8,20.6,11.8,36.8,-2.5,68,15,2.6,17.0,北東,28.0,北東,2095.7,13.4,0,0,--,5.7,19,64,8
83,1963,1013.8,1014.8,1412.4,56.3,41.0,12.0,15.6,20.3,11.9,37.2,-3.5,69,17,2.8,15.7,南南西,29.5,南西,1994.5,10.7,8,3,3,6.1,25,67,15
84,1964,1015.2,1016.1,1035.1,69.2,17.8,12.4,16.6,21.4,12.5,37.1,-2.7,67,10,2.7,19.0,南南西,31.7,南南西,1948.2,12.2,7,5,7,6.2,15,60,14
85,1965,1013.8,1014.7,1596.5,91.1,27.2,14.0,15.4,20.1,11.1,36.7,-3.4,67,21,2.8,17.3,南,33.1 ],南南東,2044.9,12.1 ],12,12,12,5.7,20,53,16
86,1966,1013.4,1014.4,1532.8,123.3,57.6,16.1,16.0,20.6,11.8,37.1,-4.2,68,18,2.8,12.3,西南西,22.7,西,2115.3,10.6 ],1,1,1,5.9,12,58,14
87,1967,1014.0,1014.9,1421.0,83.5,47.0,15.0,16.3,21.0,12.1,37.1,-4.7,66,18,2.7,13.2,西,24.6,西南西,2073.8,11.0,2,2,2,5.8,17,43,13
88,1968,1011.7,1014.7,1350.0,104.0,27.0,12.0,15.7,20.0,11.7,35.2,-3.1,67,14,3.2,17.0,南西,26.3,南西,1985.8,10.4,1,1,1,6.0,24,33,11
89,1969,1009.3,1015.2,1185.0,106.0,25.5,12.0,15.9,20.1,12.1,35.6,-2.7,67,15,3.9,19.7,西北西,29.7,西北西,2103.4,10.4,11,6,6,6.2,13,40,7
90,1970,1009.7,1015.6,1292.0,58.5,32.0,14.0,15.9,20.0,12.2,35.9,-2.4,68,12,3.8,22.2,東北東,34.2,東北東,1951.8,9.3,2,2,1,6.3,18,30,12
91,1971,1009.2,1015.1,1133.5,58.0,36.0,12.0,15.6,19.6,12.1,35.8,-2.4,66,15,3.8,16.7,西南西,24.7,西南西,1994.4,×,0,0,0,6.4,16,10,20
92,1972,1008.9,1014.8,1520.0,146.0,39.0,12.5,15.7,19.8,12.0,36.9,-0.6,66,18,3.9,23.2,北,30.8,北,2127.5,9.9,0,0,0,6.3,9,18,12
93,1973,1009.3,1015.3,1098.0,79.5,34.0,12.5,16.2,20.4,12.4,36.1,-2.8,62,15,3.7,15.2,西南西,23.3,西南西,2198.5,9.4,0,0,--,6.2,7,13,12
94,1974,1009.0,1014.9,1473.0,102.0,27.0,11.0,15.9,20.1,12.2,35.4,-2.9,64,14,3.7,18.3,西,28.4,西,2196.2,11.9,0,0,0,6.5,27,12,12
95,1975,1008.7,1014.6,1398.5,95.5,38.5,15.0,16.3,20.5,12.8,36.3,-1.7,66,15,3.3,18.9,南西,32.3,南,2127.2,13.0,1,1,1,6.5,18,7,21
96,1976,1009.3,1015.2,1500.0,119.0,23.5,12.0,15.9,20.1,12.2,34.7,-2.2,64,16,3.3,14.8,西,31.2,西,2067.9,12.3,0,0,0,6.5,18,5,13
97,1977,1009.6,1015.5,1061.5,60.5,26.0,12.5,16.7,21.0,12.9,35.8,-4.5,63,12,3.3,15.0,南西,25.0,南西,2152.4,12.7,7,5,5,6.3,23,5,12
98,1978,1009.3,1015.2,884.0,84.5,65.0,19.0,16.8,21.3,13.1,38.0,-2.4,63,14,3.4,16.9,西,27.7,西,2329.8,13.2,1,1,1,6.1,17,7,13
99,1979,1009.3,1015.2,1430.0,112.5,77.5,19.5,17.1,21.4,13.3,35.8,0.3,63,13,3.2,17.6,西北西,33.2,西北西,2177.0,12.0,0,0,--,6.4,6,2,15
100,1980,1009.0,1014.9,1702.0,95.0,26.5,12.0,15.9,20.0,12.3,34.9,-2.6,62,16,3.1,16.0,西,28.2,西,1999.5,11.4,0,0,--,6.6,9,2,13
101,1981,1009.0,1015.0,1094.0,42.0,31.0,17.0,15.8,20.0,12.1,36.8,-5.5,63,16,3.0,14.5,西,26.7,西,2097.6,11.6,2,2,2,6.4,17,4,6
102,1982,1009.4,1015.3,1241.5,101.5,30.5,12.5,16.1,20.4,12.4,34.6,-2.7,65,14,3.3,15.4,東北東,25.2,東北東,2112.4,12.4,3,3,3,6.2,13,6,13
103,1983,1009.1,1015.0,1242.0,149.0,26.5,16.0,16.5,20.8,12.8,38.5,-2.5,64,17,3.7,17.8,西,30.1,西,2263.1,12.8,0,0,--,6.2,13,4,13
104,1984,1009.4,1015.3,1059.5,101.0,37.0,16.0,15.8,20.2,12.2,36.9,-2.9,65,15,3.5,13.9,西,27.4,西南西,2270.8,12.4,33,18,17,6.2,45,4,19
105,1985,1009.5,1015.4,1276.5,92.5,32.5,10.0,16.6,20.9,12.9,38.1,-2.7,66,15,3.5,13.9,西南西,29.2,西南西,2169.4,12.0,1,1,1,6.6,13,6,14
106,1986,1009.2,1015.1,1203.5,55.5,36.5,15.0,15.8,20.3,12.0,35.9,-2.1,65,15,3.4,12.6,西南西,22.0,南西,2055.5,13.0,0,0,0,6.3,27,7,9
107,1987,1009.8,1015.7,949.5,69.5,42.0,11.5,16.8,21.2,13.0,35.2,-1.5,65,12,3.4,15.7,東北東,28.3,東北東,2062.1,12.7,7,7,7,6.2,21,0,10
108,1988,1008.7,1014.6,1300.0,120.5,37.0,17.0,16.1,20.2,12.5,35.4,-0.6,64,13,3.4,12.9,西,23.2,西北西,1882.2,11.9,0,0,--,6.6,20,1,12
109,1989,1009.4,1015.3,1712.5,174.0,30.0,17.5,16.9,21.1,13.2,35.4,-0.2,65,13,3.3,13.1,東北東,23.9,北東,1942.5,12.0,0,0,--,6.6,6,7,25
110,1990,1009.8,1015.7,1740.0,106.0,64.5,17.0,17.4,21.7,13.9,38.3,-2.5,65,15,3.3,17.1,北北東,31.5,北東,1994.7,12.4,12,8,11,6.5,9,0,19
111,1991,1008.8,1014.7,1433.0,78.0,32.0,14.5,17.1,21.2,13.7,37.3,-2.4,65,13,3.2,17.2,南南西,33.1,南南西,1731.9,11.9,0,0,--,6.9,16,2,17
112,1992,1009.2,1015.1,1220.5,89.0,18.5,8.0,16.9,20.9,13.3,35.8,-0.3,63,13,2.9,15.1,南西,27.0,南南西,1845.8,12.1,0,0,--,6.9,9,2,15
113,1993,1005.6,1015.0,1635.0,93.0,31.5,13.0,16.3,20.2,12.8,35.0,0.0,64,17,3.6,19.4,南南西,30.1,南南西,1642.1,11.8,0,0,--,7.1,12,5,11
114,1994,1005.2,1015.0,744.0,60.0,37.0,19.5,17.7,21.9,14.1,39.1,-0.4,61,13,3.7,16.4,西,28.0,西,2225.1,12.3,9,9,9,6.3,13,5,18
115,1995,1005.2,1015.0,1379.0,117.0,51.0,16.5,16.6,20.5,13.1,37.6,-0.3,61,14,3.7,16.1,西,26.0,西,2012.0,11.4,0,0,--,6.4,12,3,17
116,1996,1005.6,1015.3,1281.5,71.0,51.5,18.0,16.3,20.5,12.8,36.4,-0.9,64,18,3.6,19.1,南南西,31.1,南南西,2028.4,12.7,9,6,6,6.5,20,10,12
117,1997,1005.4,1015.1,1337.5,79.0,46.0,24.5,16.8,20.9,13.1,35.1,-3.8,64,15,3.7,19.2,東北東,33.9,東北東,2088.5,13.3,5,5,5,6.3,15,3,20
118,1998,1005.6,1015.4,1605.0,93.5,26.5,11.5,17.8,21.9,14.4,35.7,-1.0,67,19,3.6,24.8,西,41.8,西南西,1857.8,12.6,0,0,--,7.2,5,3,13
119,1999,1005.1,1014.8,1365.5,108.0,38.5,12.5,17.3,21.6,13.7,37.0,-2.9,63,8,2.8,14.3,南西,31.7,南南西,2052.1,13.6,0,0,0,6.6,10,3,30
120,2000,1004.8,1014.6,1163.5,127.5,23.5,16.0,17.2,21.6,13.9,37.7,-0.4,62,13,2.5,12.9,西,29.8,西北西,2016.6,13.4,2,2,2,6.5,14,0,27
121,2001,1004.7,1014.4,1041.5,99.5,25.0,9.0,17.1,21.4,13.6,38.4,-1.3,61,11,2.6,11.5,北東,26.1,西南西,2154.3,14.0,0,0,0,6.5,17,0,8
122,2002,1004.9,1014.6,954.0,43.5,28.5,12.5,17.3,21.6,13.8,37.4,-1.0,63,10,2.7,11.5,西南西,24.0,西,2075.3,14.1,0,0,--,6.8,10,2,15
123,2003,1005.3,1015.0,1528.5,88.0,31.5,16.0,16.9,21.0,13.5,35.5,-2.7,66,12,2.5,11.7,南南西,25.7,南南西,1822.6,12.6,0,0,--,7.1,16,3,15
124,2004,1005.5,1015.3,1594.5,155.0,40.0,15.0,17.9,22.4,14.2,36.4,-2.2,63,11,2.6,12.5 ],南南西,31.7 ],南南西,2243.8,14.2,0,0,--,6.5,16,0,18
125,2005,1004.6,1014.4,909.0,47.5,36.0,13.0,17.0,21.3,13.5,37.0,-1.2,62,14,2.6,11.1,南西,23.5,南南西,2098.3,14.1,1,1,1,6.9,10,1,18
126,2006,1005.1,1014.9,1399.5,75.5,19.5,11.0,17.0,21.2,13.6,37.9,-1.9,64,12,2.4,11.5,西,25.8,北西,1859.9,13.1,0,0,1,7.0,27,1,19
127,2007,1005.0,1014.8,962.5,57.0,28.0,11.5,17.6,21.9,14.0,38.3,0.4,61,13,2.4,10.9,西南西,26.9,西南西,2124.5,14.3,0,0,--,6.6,5,1,19
128,2008,1005.1,1015.0,1262.5,57.0,46.0,18.5,17.0,21.3,13.5,36.4,-0.7,63,11,2.3,10.1,西,27.1,北北西,2030.0,14.0,5,5,5,6.9,30,0,25
129,2009,1004.5,1014.3,1165.0,48.5,18.0,11.0,17.1,21.4,13.5,36.3,0.0,63,10,2.3,11.5,西,21.6,北,2000.6,14.0,0,0,--,6.9,13,0,16
130,2010,1005.4,1015.2,1568.0,69.0,33.0,16.5,17.3,21.4,13.8,37.4,-1.3,62,11,2.5,11.7,西,25.6,西,2031.9,13.9,0,0,--,6.9,12,3,14
131,2011,1005.3,1015.1,1614.0,103.0,77.5,22.5,16.9,21.1,13.3,36.2,-2.7,63,10,2.5,10.9,西南西,22.0,東北東,2162.6,14.1,6,3,5,6.9,22,0,12
132,2012,1004.9,1014.7,1519.5,97.5,58.0,22.0,16.6,20.8,13.2,36.7,-2.9,63,9,2.5,14.9,西,28.6,西,2058.2,13.7,--,--,--,7.0,13,2,38
133,2013,1005.0,1014.8,1418.0,102.5,49.0,27.5,17.1,21.5,13.4,38.4,-1.1,61,9,2.5,11.1,西,21.4,北北東,2299.5,14.6,--,--,0,6.5,20,0,17
134,2014,1005.5,1015.3,1278.5,125.5,29.0,10.5,16.7,21.0,13.1,37.1,-0.5,64,14,2.5,10.9,南西,21.6,西,2161.3,14.4,6,4,4,6.8,18,1,10
135,2015,1005.5,1015.2,1648.5,155.5,25.5,11.5,17.2,21.4,13.7,38.0,0.0,66,14,2.4,10.1,西,19.7,南,2006.2,13.9,--,--,0,6.9,17,1,15
136,2016,1010.6 ],1020.7 ],336.5 ],55.5 ],12.5 ],3.5 ],8.3 ],12.5 ],4.5 ],25.9 ],-3.5 ],60 ],15 ],2.4 ],9.4 ],南南西,20.7 ],南南西,626.9 ],12.2 ],×,×,×,6.2 ],9 ],0 ],0 ]
