,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
47,1984,1012.1,1013.9,1348.0,107.5,36.0,14.0,15.5,19.6,11.5,37.0,-5.4,65,12,2.5,9.6,東北東,19.4,南南西,2270.2,13.4,2,2,1,6.4,9,1,13
48,1985,1012.3,1014.2,2206.5,112.5,60.0,16.0,16.2,20.3,12.2,36.2,-5.6,68,13,2.5,12.4,南東,25.4,南西,2227.3,12.9,0,0,--,6.5,2,6,14
49,1986,1011.5,1013.3,1927.5,216.5,47.0,12.0,15.7,20.0,11.5,35.1,-4.6,67,13,2.3,12.1,南南西,30.4,南南西,2167.7,12.9,0,0,--,6.2,3,2,16
50,1987,1012.4,1014.2,2189.5,156.5,87.0,23.0,16.7,21.0,12.5,37.1,-3.3,68,13,2.5,10.4,南西,23.7,南西,2132.9,12.8,0,0,--,6.5,6,4,19
51,1988,1011.2,1013.0,2218.0,205.5,31.0,11.0,15.9,20.1,11.8,34.6,-2.9,65,13,2.3,11.2,北北西,23.7,北西,1985.8,12.1,0,0,--,6.5,1,4,11
52,1989,1012.6,1014.4,2625.5,114.0,27.0,14.5,16.5,20.6,12.6,34.8,-2.6,69,13,2.2,9.8,東南東,22.3,南,2061.9,13.4,0,0,--,6.6,0,6,26
53,1990,1012.7,1014.5,2859.5,215.5,73.5,20.0,17.1,21.2,13.2,38.0,-3.2,69,14,2.1,13.6,東北東,27.6,南西,2083.0,13.5,0,0,--,6.4,3,4,20
54,1991,1011.3,1013.1,2642.5,216.5,84.5,21.0,16.8,20.9,12.9,38.4,-2.7,69,15,2.1,12.6,南西,28.9,南西,1952.9,13.1,0,0,--,6.7,4,7,12
55,1992,1011.9,1013.7,2234.5,137.0,42.5,16.0,16.4,20.6,12.4,35.7,-1.7,68,12,2.1,10.9,南西,24.0,南西,2057.8,13.5,0,0,--,6.4,0,3,27
56,1993,1011.5,1013.4,2374.5,128.0,56.5,16.0,16.0,20.2,12.0,35.7,-2.1,68,13,2.1,9.5,北東,23.7,南西,1958.2,13.0,0,0,--,6.5,1,7,11
